N_Fijo,CODIGO_VT,Ref_Catastral_Fin,AFORO,VALORCATASTRAL,COEFICIENTE_CATASTRAL,TASA_VIVIENDA,PLUS_VIVIENDA_TURISTICA,TASA_TOTAL,VALORCATASTRAL_NUM,COEFICIENTE_CATASTRAL_NUM,TASA_VIVIENDA_NUM,TASA_TOTAL_NUM,FINCA,HOJA,INMUEBLE,CONTROL,HOJA_BASE,ZONA
1028536,502796,1635136BC5913S0001ZZ,8,"59.695,69","1,040","134,36",160,"294,36",59695.69,1.04,134.36,294.36,1635136,BC5913S,0001,ZZ,BC5913,Montgó / Toscamar
1025630,506502,6550305BC5965S0065KY,8,"59.892,55","1,044","134,39",160,"294,39",59892.55,1.044,134.39,294.39,6550305,BC5965S,0065,KY,BC5965,Puerto / Aduanas
1007564,434827,2074715BC5927S0001FQ,8,"59.952,04","1,045","134,40",160,"294,40",59952.04,1.045,134.4,294.4,2074715,BC5927S,0001,FQ,BC5927,Rafalet / Lluca / Covatelles
1013234,457599,5272730BC5957S0010XL,8,"60.003,30","1,046","134,41",160,"294,41",60003.3,1.046,134.41,294.41,5272730,BC5957S,0010,XL,BC5957,Arenal / Canal / Montañar
1004057,463581,8518203BC5981N0001FU,8,"60.004,90","1,046","134,41",160,"294,41",60004.9,1.046,134.41,294.41,8518203,BC5981N,0001,FU,BC5981,Portitxol / Toscal / Trencall
1009498,492777,2423707BC5922S0001PI,8,"60.005,14","1,046","134,41",160,"294,41",60005.14,1.046,134.41,294.41,2423707,BC5922S,0001,PI,BC5922,Rafalet / Lluca / Covatelles
1020196,489073,6241020BC5964S0001SS,8,"60.042,43","1,046","134,42",160,"294,42",60042.43,1.046,134.42,294.42,6241020,BC5964S,0001,SS,BC5964,Puerto / Aduanas
1021381,505704,5560001BC5955N0067JL,8,"60.097,90","1,047","134,43",160,"294,43",60097.9,1.047,134.43,294.43,5560001,BC5955N,0067,JL,BC5955,Arenal / Canal / Montañar
1005909,507490,9877630BC4997N0001KO,8,"60.141,27","1,048","134,43",160,"294,43",60141.27,1.048,134.43,294.43,9877630,BC4997N,0001,KO,BC4997,Les Fonts / Castellans
1000805,494998,4072805BC5937S0001JT,8,"60.152,55","1,048","134,43",160,"294,43",60152.55,1.048,134.43,294.43,4072805,BC5937S,0001,JT,BC5937,Casco urbano / Pueblo
1031707,511438,5747203BC5954N0027PB,8,"60.472,34","1,054","134,49",160,"294,49",60472.34,1.054,134.49,294.49,5747203,BC5954N,0027,PB,BC5954,Arenal / Canal / Montañar
1000474,508075,5038003BC5953N0001IY,8,"60.474,92","1,054","134,49",160,"294,49",60474.92,1.054,134.49,294.49,5038003,BC5953N,0001,IY,BC5953,Arenal / Canal / Montañar
1004900,487021,2573406BC5927S0001KQ,8,"60.608,62","1,056","134,51",160,"294,51",60608.62,1.056,134.51,294.51,2573406,BC5927S,0001,KQ,BC5927,Rafalet / Lluca / Covatelles
1004254,475732,8620305BC5981N0001MU,8,"60.736,88","1,059","134,53",160,"294,53",60736.88,1.059,134.53,294.53,8620305,BC5981N,0001,MU,BC5981,Portitxol / Toscal / Trencall
1007918,476070,7230101BC5972N0001PB,8,"60.827,64","1,060","134,54",160,"294,54",60827.64,1.06,134.54,294.54,7230101,BC5972N,0001,PB,BC5972,Tosalet / Cap Martí
1010097,462871,8629217BC5982N0001UQ,8,"60.910,01","1,062","134,55",160,"294,55",60910.01,1.062,134.55,294.55,8629217,BC5982N,0001,UQ,BC5982,Costa Nova / Balcón al Mar / Ambolo
1020544,490391,9780812BC4997N0001KO,8,"60.961,75","1,062","134,56",160,"294,56",60961.75,1.062,134.56,294.56,9780812,BC4997N,0001,KO,BC4997,Les Fonts / Castellans
1017470,427121,7826609BC5972N0001EB,8,"61.003,25","1,063","134,57",160,"294,57",61003.25,1.063,134.57,294.57,7826609,BC5972N,0001,EB,BC5972,Tosalet / Cap Martí
1013536,450513,4180402BC5947N0001FQ,8,"61.076,79","1,064","134,58",160,"294,58",61076.79,1.064,134.58,294.58,4180402,BC5947N,0001,FQ,BC5947,Casco urbano / Pueblo
1012594,500166,5338711BC5953N0001AY,8,"61.129,78","1,065","134,59",160,"294,59",61129.78,1.065,134.59,294.59,5338711,BC5953N,0001,AY,BC5953,Arenal / Canal / Montañar
